download,latency,upload,time
7.71 ,"41.109 ms
",3.48 ,"10:10:01
"
7.68 ,"41.544 ms
",3.84 ,"10:15:01
"
6.47 ,"40.474 ms
",3.28 ,"10:20:01
"
5.20 ,"46.522 ms
",3.01 ,"10:25:01
"
7.06 ,"44.052 ms
",3.45 ,"10:30:01
"
5.04 ," 53.16 ms
",3.01 ,"10:35:01
"
5.42 ,"45.751 ms
",3.54 ,"10:40:01
"
6.94 ," 40.55 ms
",3.27 ,"10:45:02
"
5.34 ,"44.015 ms
",2.35 ,"10:50:01
"
5.60 ,"44.585 ms
",3.02 ,"10:55:01
"
6.54 ,"49.174 ms
",3.56 ,"11:00:01
"
5.88 ,"46.585 ms
",3.12 ,"11:05:01
"
5.68 ,"45.119 ms
",3.50 ,"11:10:01
"
6.58 ,"34.548 ms
",2.15 ,"11:15:01
"
7.75 ,"34.769 ms
",3.61 ,"11:20:01
"
7.65 ,"36.347 ms
",3.16 ,"11:25:01
"
7.91 ,"36.343 ms
",3.45 ,"11:30:01
"
7.16 ,"35.894 ms
",3.67 ,"11:35:01
"
6.88 ,"35.071 ms
",3.52 ,"11:40:01
"
6.86 ,"37.748 ms
",3.83 ,"11:45:01
"
6.91 ," 35.27 ms
",3.92 ,"11:50:01
"
6.95 ,"36.005 ms
",2.88 ,"11:55:01
"
9.16 ,"34.713 ms
",3.45 ,"12:00:01
"
6.62 ,"35.928 ms
",3.35 ,"12:05:01
"
5.98 ,"49.878 ms
",1.84 ,"12:10:01
"
5.65 ,"59.966 ms
",3.10 ,"12:15:24
"
7.54 ,"37.274 ms
",5.30 ,"12:20:01
"
4.85 ,"38.509 ms
",2.30 ,"12:25:01
"
3.93 ,"35.555 ms
",2.28 ,"12:30:01
"
7.03 ,"33.859 ms
",3.14 ,"12:35:01
"
6.16 ," 33.37 ms
",3.05 ,"12:40:01
"
4.16 ,"34.875 ms
",3.77 ,"12:45:01
"
2.65 ,"39.115 ms
",0.83 ,"12:50:01
"
6.43 ,"33.922 ms
",3.52 ,"12:55:01
"
6.07 ,"34.621 ms
",3.59 ,"13:00:01
"
4.84 ,"55.763 ms
",2.47 ,"13:05:01
"
5.34 ,"36.146 ms
",4.91 ,"13:10:01
"
5.16 ,"37.483 ms
",3.60 ,"13:15:02
"
1.98 ,"35.949 ms
",3.97 ,"13:20:01
"
5.77 ,"33.631 ms
",3.03 ,"13:25:01
"
1.68 ,"33.009 ms
",3.14 ,"13:30:02
"
6.31 ,"36.536 ms
",4.17 ,"13:35:01
"
5.49 ,"36.418 ms
",3.30 ,"13:40:02
"
5.45 ,"38.698 ms
",3.26 ,"13:45:01
"
1.00 ,"36.338 ms
",4.43 ,"13:50:01
"
5.44 ,"38.673 ms
",3.36 ,"13:55:01
"
3.56 ," 62.76 ms
",2.63 ,"14:00:02
"
7.33 ,"34.864 ms
",2.35 ,"14:05:01
"
4.60 ,"54.958 ms
",2.08 ,"14:10:02
"
5.64 ,"33.925 ms
",3.42 ,"14:15:02
"
3.65 ,"34.846 ms
",3.08 ,"14:20:01
"
6.66 ,"34.677 ms
",2.02 ,"14:25:01
"
6.12 ,"37.356 ms
",2.75 ,"14:30:01
"
0.95 ,"60.298 ms
",2.58 ,"14:35:01
"
6.05 ,"35.766 ms
",3.48 ,"14:40:01
"
5.58 ,"37.043 ms
",2.62 ,"14:45:01
"
1.60 ,"58.966 ms
",3.28 ,"14:50:01
"
6.27 ,"34.913 ms
",3.71 ,"14:55:01
"
5.85 ," 32.88 ms
",3.50 ,"15:00:01
"
6.19 ," 32.53 ms
",2.49 ,"15:05:01
"
6.06 ,"36.689 ms
",3.84 ,"15:10:01
"
3.66 ,"34.922 ms
",1.31 ,"15:15:01
"
6.15 ,"34.671 ms
",3.24 ,"15:20:01
"
6.67 ,"34.555 ms
",3.31 ,"15:25:01
"
4.80 ,"35.845 ms
",3.35 ,"15:30:02
"
6.03 ,"35.902 ms
",3.06 ,"15:35:01
"
5.93 ,"35.402 ms
",3.26 ,"15:40:02
"
5.83 ,"35.794 ms
",3.07 ,"15:45:01
"
6.23 ,"35.329 ms
",3.74 ,"15:50:01
"
3.43 ,"35.755 ms
",4.56 ,"15:55:01
"
4.55 ,"34.576 ms
",3.37 ,"16:00:01
"
6.23 ,"34.625 ms
",4.10 ,"16:05:01
"
5.34 ,"34.893 ms
",3.30 ,"16:10:01
"
6.16 ,"34.522 ms
",3.21 ,"16:15:01
"
5.31 ,"37.374 ms
",2.48 ,"16:20:02
"
6.53 ,"36.736 ms
",3.46 ,"16:25:02
"
4.10 ,"36.692 ms
",3.16 ,"16:30:01
"
5.63 ,"39.888 ms
",3.77 ,"16:35:01
"
5.51 ,"37.536 ms
",3.30 ,"16:40:02
"
5.18 ,"38.856 ms
",2.65 ,"16:45:02
"
5.76 ,"36.225 ms
",3.40 ,"16:50:01
"
5.78 ,"34.397 ms
",2.49 ,"16:55:02
"
4.98 ,"37.214 ms
",3.22 ,"17:00:02
"
5.56 ,"35.776 ms
",4.33 ,"17:05:01
"
5.96 ,"34.042 ms
",2.37 ,"17:10:01
"
5.69 ,"37.123 ms
",4.23 ,"17:15:02
"
4.60 ,"36.594 ms
",3.60 ,"17:20:01
"
5.08 ,"37.628 ms
",2.73 ,"17:25:01
"
4.74 ,"34.661 ms
",2.76 ,"17:30:01
"
5.33 ,"36.318 ms
",3.93 ,"17:35:01
"
5.73 ,"35.446 ms
",3.67 ,"17:40:01
"
5.25 ,"49.328 ms
",3.34 ,"17:45:01
"
6.22 ,"35.754 ms
",4.09 ,"17:50:01
"
5.12 ,"35.368 ms
",2.14 ,"17:55:01
"
3.69 ,"37.942 ms
",3.14 ,"18:00:01
"
5.71 ,"35.819 ms
",3.99 ,"18:05:01
"
4.73 ,"37.953 ms
",3.34 ,"18:10:01
"
6.00 ,"43.094 ms
",3.66 ,"18:15:02
"
7.26 ,"36.759 ms
",2.96 ,"18:20:01
"
6.58 ,"36.706 ms
",3.19 ,"18:25:02
"
6.44 ,"36.458 ms
",3.43 ,"18:30:02
"
6.50 ,"35.223 ms
",2.82 ,"18:35:01
"
6.99 ,"39.552 ms
",3.11 ,"18:40:01
"
6.74 ," 35.99 ms
",3.26 ,"18:45:02
"
5.39 ," 36.75 ms
",3.09 ,"18:50:01
"
5.51 ,"36.126 ms
",3.32 ,"18:55:01
"
6.25 ,"39.419 ms
",3.25 ,"19:00:02
"
5.85 ,"36.279 ms
",1.62 ,"19:05:01
"
3.76 ,"37.213 ms
",3.72 ,"19:10:02
"
5.77 ," 39.35 ms
",3.45 ,"19:15:01
"
3.67 ,"37.177 ms
",4.20 ,"19:20:01
"
6.29 ,"38.272 ms
",2.86 ,"19:25:01
"
5.71 ,"38.271 ms
",3.35 ,"19:30:01
"
3.82 ," 67.07 ms
",2.52 ,"19:35:01
"
5.66 ,"38.919 ms
",2.52 ,"19:40:01
"
3.69 ,"38.431 ms
",3.27 ,"19:45:01
"
5.14 ," 40.03 ms
",3.18 ,"19:50:01
"
3.53 ,"40.353 ms
",3.71 ,"19:55:01
"
5.32 ,"38.382 ms
",2.59 ,"20:00:01
"
6.18 ,"40.677 ms
",2.23 ,"20:05:01
"
4.50 ,"40.451 ms
",3.00 ,"20:10:01
"
5.40 ," 40.44 ms
",2.99 ,"20:15:01
"
6.08 ,"44.155 ms
",3.49 ,"20:20:01
"
7.43 ,"38.032 ms
",3.27 ,"20:25:01
"
4.41 ,"39.288 ms
",2.05 ,"20:30:01
"
5.21 ,"37.767 ms
",2.84 ,"20:35:01
"
5.37 ,"76.051 ms
",3.81 ,"20:40:02
"
1.43 ,"78.272 ms
",1.49 ,"20:45:01
"
4.93 ,"43.974 ms
",3.57 ,"20:50:01
"
5.66 ,"40.311 ms
",3.96 ,"20:55:01
"
5.52 ,"39.089 ms
",3.92 ,"21:00:01
"
5.12 ,"43.226 ms
",2.71 ,"21:05:02
"
4.28 ," 40.28 ms
",2.25 ,"21:10:01
"
4.05 ,"48.071 ms
",4.88 ,"21:15:01
"
3.45 ,"55.704 ms
",2.56 ,"21:20:01
"
3.18 ," 42.76 ms
",3.25 ,"21:25:01
"
4.08 ,"48.427 ms
",2.38 ,"21:30:02
"
4.37 ,"54.452 ms
",2.56 ,"21:35:01
"
